週,曜日,セッション種別,メイン方針,種目（セット×回数／説明）,強度目標,使用器具,注意点
1,月,全身（自重）,基礎フォーム習得／筋持久力アップ,スクワット 20回×3; プッシュアップ 12回×3; ヒップリフト 15回×3（お尻を上で1秒止め）,主観的運動強度（RPE）6〜7＝ややきつい〜きつい手前,自重,反動を使わず、下ろしは3秒・ボトムで1秒静止。腰や膝に痛みが出たら中止。
1,火,低強度の持続運動（LISS）,持久力の土台作り,エアロバイク 30分＋軽いジョグまたは速歩 5分,心拍120〜135拍/分（息は上がるが会話は可能）,エアロバイク／屋外ウォーキング,ペダルは一定リズムで。無理にスピードを上げず、止まらず続けることを優先。
1,水,体幹＋ストレッチ,姿勢安定・ケガ予防,プランク 40秒×3; サイドプランク 各30秒×3; 股関節・肩まわりストレッチ 10〜15分,楽〜ややきつい,自重,呼吸を止めない。体幹は腰が反らない高さでキープ。
1,木,全身（自重）,弱点の底上げ（下半身・胸）,ブルガリアンスクワット 各12回×3; 膝付きプッシュアップ 15回×3; ヒップリフト 15回×2,主観的運動強度（RPE）6〜7＝ややきつい〜きつい手前,自重（椅子・台を使用）,台は安定したものを使用。可動域を深く、テンポを一定に。
1,金,低強度の持続運動（LISS）,脂肪燃焼・回復促進,エアロバイク 30分＋ジョグ 5分（または速歩）,心拍120〜135拍/分（息は上がるが会話は可能）,エアロバイク／屋外ウォーキング,姿勢を保ち、最後までペース維持を意識。
1,土,フォーム練習・ストレッチ,動作の質向上,スクワット・プッシュアップのフォーム確認（動画撮影推奨）; 全身ストレッチ 20〜30分,軽め,—,痛みゼロの範囲で可動域を広げる。膝・肩の軌道を確認。
1,日,休養・記録,回復・進捗の見える化,体重・周径・主観疲労を記録; 軽い散歩OK,—,—,睡眠を十分に取り、翌週の準備。食事と水分補給を意識。
2,月,プッシュ（胸・肩・二の腕）,自重＋ダンベルで胸・肩・三頭,プッシュ（胸・肩・二の腕）-up 8–12×4（下ろし3s・止1s）; ダンベル フロアプレス 15–20×3; ダンベル オーバーヘッドプレス 10–15×3; Incline プッシュ（胸・肩・二の腕）-up 6–10×2; Diamond プッシュ（胸・肩・二の腕）-up 6–12×2,主観的運動強度（RPE）7＝ややきつい（短い会話は可能）,"自重, ダンベル 5kg×2",回数が余るならテンポ維持で可動域最大化
2,火,高強度インターバルトレーニング（HIIT） (エアロバイク),20秒全力＋40秒ゆる走 ×10本,ウォームアップ 5min; 20s 全力 / 40s ゆっくり ×10; クールダウン 5min,主観的運動強度（RPE）8＝かなりきつい（会話がほぼできない）,エアロバイク,ケイデンスは全力時ほぼ限界一歩手前。※HIITは「全力→ゆっくり」を交互に行います。全力時は息が上がり、ゆっくりの区間で呼吸を整えます。最初は本数を減らしてもOK。
2,水,プル（背中・二の腕） + Abs,背・二頭＋腹筋ローラー,1-arm ダンベル Row 各15–25×4（下ろし4s）; テーブルロウ（机を使った自重ローイング） 6–10×3; リアレイズ（後肩） 12–20×3; ハンマーカール 12–20×3; 腹筋ローラー（膝コロ）6–10×3（戻り2–3s）,主観的運動強度（RPE）7＝ややきつい（短い会話は可能）,"ダンベル 5kg×2, 自重, 腹筋ローラー",テーブルは安定する台のみ使用
2,木,低強度の持続運動（LISS）,45分持久系,エアロバイク 45min（または速歩）,心拍120〜135拍/分（息は上がるが会話は可能）（会話が可能な強度）,エアロバイク / Walking,軽い傾斜や負荷で一定強度キープ 無理に速くせず、30〜45分を止まらず続けるのが目標です。
2,金,レッグス（下半身） + 体幹,脚・臀＋体幹,ブルガリアンスクワット 各10–15×4（自重→余裕でダンベル）; ゴブレットスクワット 20–30×3（下ろし3s）; ルーマニアンデッドリフト 15–20×3; 片脚ヒップスラスト 各10–15×3; Calf Raise 20–30×3; サイドプランク 30–45s×2–3/side,主観的運動強度（RPE）7＝ややきつい（短い会話は可能）,"ダンベル 5kg×2, 自重",骨盤を畳む意識でルーマニアンデッドリフト
2,土,可動域改善/フォーム練習,フォーム練習＋ストレッチ,肩甲骨・股関節モビリティ 20–30min; フォーム撮影（プッシュ（胸・肩・二の腕）-up/Bulgarian）,軽め,—,任意でゆる有酸素10–20min 鏡や動画でフォームを確認し、痛みがあれば中止してください。
2,日,休養,完全休養＆記録,体重・周径・主観疲労メモ; 軽い散歩OK,—,—,睡眠多め・栄養確保
3,月,プッシュ（胸・肩・二の腕）,ボリューム増（質と量を上げる）,プッシュ（胸・肩・二の腕）-up 10–15×4; ダンベル フロアプレス 15–25×4; ダンベル オーバーヘッドプレス 12–15×4; Leaning ラテラルレイズ（側肩） 8–12×3; Diamond プッシュ（胸・肩・二の腕）-up 8–12×2 + 休養-pause×1,主観的運動強度（RPE）7〜8＝きつい（会話が途切れる）（下ろし3–4s・ボトム1s）,"自重, ダンベル 5kg×2",上限回数に+2–3回を狙う
3,火,高強度インターバルトレーニング（HIIT） (エアロバイク),本数余裕あれば10→12本,ウォームアップ 5min; 20s 全力 / 40s ゆっくり ×10–12; クールダウン 5min,主観的運動強度（RPE）8＝かなりきつい（会話がほぼできない）,エアロバイク,脚回しきる→呼吸整えるを徹底。※HIITは「全力→ゆっくり」を交互に行います。全力時は息が上がり、ゆっくりの区間で呼吸を整えます。最初は本数を減らしてもOK。
3,水,プル（背中・二の腕） + Abs,背・二頭ボリュームアップ＋腹,1-arm ダンベル Row 各15–25×4（トップ1s肩甲骨寄せ）; テーブルロウ（机を使った自重ローイング） 8–12×3; リアレイズ（後肩） 15–20×4; ハンマーカール 15–20×3（ネガ3s）; 腹筋ローラー 8–12×4（余裕あればネガのみ追加3回）,主観的運動強度（RPE）7〜8＝きつい（会話が途切れる）,"ダンベル 5kg×2, 自重, 腹筋ローラー",反動無しで丁寧に
3,木,低強度の持続運動（LISS）,45分持久系,Walk/エアロバイク 45min（可能なら軽傾斜）,心拍120〜135拍/分（息は上がるが会話は可能）,エアロバイク / Walking,鼻呼吸中心で一定強度 無理に速くせず、30〜45分を止まらず続けるのが目標です。
3,金,レッグス（下半身） + 体幹,脚ボリューム増,Bulgarian 各12–15×4; ゴブレットスクワット 25–35×3（下ろし3–4s）; ルーマニアンデッドリフト 18–22×4; 片脚ヒップスラスト 12–15×3; Calf 25–35×3; サイドプランク 40–60s×3/side,主観的運動強度（RPE）7〜8＝きつい（会話が途切れる）,"ダンベル 5kg×2, 自重",フォーム優先で可動域最大化
3,土,回復/可動域改善,回復重視＋可動域,軽いストレッチ30–40min; 必要ならゆる有酸素10–20min,軽め,—,睡眠・栄養を最優先 鏡や動画でフォームを確認し、痛みがあれば中止してください。
3,日,計測/休養,計測＆休養,体重・体脂肪率・写真・主観評価; 散歩OK,—,—,次週デロードに備える 休養日は睡眠を十分に取り、軽い散歩程度に留めましょう。
4,月,プッシュ（胸・肩・二の腕） (Deload),負荷-15%／セット-30%／RPE6–7,プッシュ（胸・肩・二の腕）-up 8–10×3; ダンベル フロアプレス 12–15×2–3; ダンベル オーバーヘッドプレス 8–12×2–3,主観的運動強度（RPE）6〜7＝ややきつい〜きつい手前（テンポ維持）,"自重, ダンベル 5kg×2",フォーム・可動域を丁寧に確認
4,火,低強度の持続運動（LISS） (Short),30–40分持久系,Walk/エアロバイク 30–40min,心拍115〜130拍/分（楽〜やや楽）,エアロバイク / Walking,呼吸を落ち着けて終了
4,水,プル（背中・二の腕） (Deload) + Abs,軽めの背・二頭＋腹,1-arm ダンベル Row 12–18×3; リアレイズ（後肩） 12–15×2–3; Curl 10–12×2–3; 腹筋ローラー 5–8×2–3,主観的運動強度（RPE）6〜7＝ややきつい〜きつい手前,"ダンベル 5kg×2, 腹筋ローラー",ネガは短めでOK
4,木,高強度インターバルトレーニング（HIIT） (Short),本数短縮の調整版,ウォームアップ 5min; 15s 全力 / 45s ゆっくり ×8; クールダウン 5min,主観的運動強度（RPE）7＝ややきつい（短い会話は可能）,エアロバイク,全力は出すが余力を残す。※HIITは「全力→ゆっくり」を交互に行います。全力時は息が上がり、ゆっくりの区間で呼吸を整えます。最初は本数を減らしてもOK。
4,金,レッグス（下半身） (Deload) + 体幹,負荷-15%／セット-30%,Bulgarian 8–12×3; Goblet 15–20×2–3; ルーマニアンデッドリフト 12–15×2–3; サイドプランク 30–45s×2/side,主観的運動強度（RPE）6〜7＝ややきつい〜きつい手前,"ダンベル 5kg×2, 自重",スピードを急がない
4,土,可動域改善/フォーム練習,ストレッチ＆フォーム撮影,全身ストレッチ20–30min; 苦手種目の軌道確認,軽め,—,来週からの計画をメモ 鏡や動画でフォームを確認し、痛みがあれば中止してください。
4,日,総まとめ/休養,総まとめ＆休養,数値比較・写真チェック・今後の方針メモ,—,—,次サイクルの目標設定 休養日は睡眠を十分に取り、軽い散歩程度に留めましょう。
